Id,SalePrice
1461,121459.0448127737
1462,145105.16262552032
1463,161882.27036979562
1464,194633.66941456453
1465,229385.48875026568
1466,171726.2903750893
1467,184379.52226921413
1468,166543.61727939706
1469,207602.9419837708
1470,98362.81730041261
1471,185484.78685743763
1472,103744.60408776042
1473,95301.90022154732
1474,144991.77225427487
1475,105780.34471419523
1476,355325.50741877966
1477,286404.3919448139
1478,322003.7198473953
1479,318767.842637595
1480,441461.95213928685
1481,304328.44750098226
1482,255539.5726084744
1483,175247.80581070832
1484,197975.98159571146
1485,207925.55551266673
1486,194825.52247414732
1487,303547.7798927823
1488,227537.1255046464
1489,190700.40801207896
1490,221342.21199003782
1491,215592.9993985081
1492,118922.25121936422
1493,207371.8909867852
1494,365984.2916815354
1495,284533.8139446785
1496,232085.4068159276
1497,149543.16699053955
1498,181582.16695621682
1499,178563.0500150619
1500,169138.2195521802
1501,214707.39504335378
1502,168524.6803850595
1503,316110.5987966121
1504,244758.31880918107
1505,220672.86464114056
1506,203333.35324736347
1507,234610.2313041708
1508,208262.75010055464
1509,165963.29788065384
1510,148077.6116152316
1511,136885.0220297479
1512,183852.7830390749
1513,140985.00415295086
1514,161659.96656196725
1515,167084.64506534563
1516,162587.24331085678
1517,172963.5852106689
1518,121106.22140140635
1519,216319.07819125435
1520,128415.18652626823
1521,116361.60553163345
1522,190246.62550358401
1523,80607.33774819906
1524,82974.99455710534
1525,105817.76843755697
1526,114293.55288021956
1527,102284.60101159397
1528,118209.46676837017
1529,165088.17939280177
1530,226478.68313242448
1531,177001.3488002328
1532,113090.55969373348
1533,166447.14932354537
1534,111604.55898945442
1535,134059.45772153366
1536,101771.583864315
1537,78851.46942118427
1538,191365.62949740546
1539,207138.74545188824
1540,131319.7937872471
1541,134645.9156666962
1542,131429.35028291578
1543,177708.88988921628
1544,96383.85412853873
1545,107112.0032381512
1546,160586.3697686145
1547,163931.9816303971
1548,133748.4924107656
1549,129418.48950120335
1550,143524.66402590025
1551,118893.89720209052
1552,163321.2048526156
1553,167293.1284088063
1554,119890.0185173013
1555,194786.91458097394
1556,116960.46101837087
